id,jer_sent,ela_sent,kra_sent,geo_sent,jer_lines,ela_lines,kra_lines,geo_lines,location,rating
S06E05,0.0779,0.0865,0.083,0.0839,77,56,37,41,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'ITALY', 'George’s Apartment', '525 E. 68th St', 'CANADA', 'Elaine’s Apartment']",8.2
S06E06,0.05,0.052000000000000005,0.0632,0.0548,81,44,46,42,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '640 West End Ave', 'Pendant Publishing', 'Kramer’s Apartment', '4 Pennsylvania Pl']",8.3
S06E07,0.0466,0.1149,0.0887,0.0655,133,51,38,68,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'UNITED KINGDOM', 'Kramer’s Apartment', 'Central Park', 'NEW YORK', 'Monk’s Café', '1000 Third Ave', 'Monk’s Café']",8.3
S06E08,0.051,0.0422,0.027000000000000003,0.0619,76,31,46,54,"['Monk’s Café', 'The Improv', 'Jerry’s Apartment', '640 West End Ave', '350 Fifth Ave', 'NEW JERSEY', 'TEXAS', 'Yankee Stadium', 'NEW JERSEY']",8.2
S06E09,0.062,0.1216,0.0851,0.1256,92,44,51,45,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Pines Of Mar Gables', 'Yankee Stadium', 'CALIFORNIA', 'TEXAS', '2310 Broadway', 'OHIO']",8.2
S06E10,0.0423,0.1009,0.1064,0.0945,62,45,30,50,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '350 Fifth Ave', 'Elaine’s Apartment', 'CHINA', 'Cuba', 'CUBA', 'China', 'Yankee Stadium', 'Cuba', 'Bronx', 'Monk’s Café', 'Cuba', 'HAWAII', 'CUBA']",9.0
S06E11,0.0661,0.0185,0.0256,0.0868,74,51,41,81,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'MARYLAND', 'Newman’s Apartment']",9.0
S06E12,0.1169,0.1274,0.0513,0.1182,112,42,28,72,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'FLORIDA', 'CANADA', 'SWITZERLAND', 'AFRICA', 'FLORIDA', 'SOUTH AMERICA', 'EUROPE']",8.7
S06E13,0.0367,0.0099,0.0855,0.0575,77,41,42,93,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Monk’s Café', 'FLORIDA', '1535 Broadway']",8.2
S06E16,0.0469,0.0802,0.0636,0.1123,91,72,38,51,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEVADA']",8.4
S06E17,0.1005,0.0206,0.0138,0.0746,124,54,48,47,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'SPAIN', 'Pines Of Mar Gables', 'NEW YORK', 'Kramer’s Apartment']",8.3
S06E18,0.06,0.0319,0.0599,0.0351,63,47,48,41,"['George’s Apartment', 'The Improv', 'Jerry’s Apartment', 'Monk’s Café', '640 West End Ave', 'GERMANY', 'George’s Apartment', 'Greenwich Village', 'UNITED KINGDOM']",8.4
S06E19,0.0126,0.0457,0.0602,0.0294,67,57,67,49,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '24 E. 13th St', 'Yankee Stadium', '1535 Broadway']",9.0
S06E20,0.0086,0.0763,0.0719,0.0753,88,73,37,52,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '1120 Sixth Ave.', 'Pines Of Mar Gables', 'Elaine’s Apartment', 'Newman’s Apartment']",8.4
S06E21,0.0557,0.0871,0.0727,0.0466,82,51,42,54,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'George’s Apartment', '525 E. 68th St', 'Costanza House']",8.8
S06E22,-0.0251,-0.0005,0.0861,0.1458,57,30,31,33,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NEW YORK', '640 West End Ave', 'Yankee Stadium', 'CALIFORNIA', 'TEXAS', 'MICHIGAN', 'WASHINGTON', 'Long Island', 'Long Island', 'Queens', 'PENNSYLVANIA', 'MASSACHUSETTS', 'OHIO', 'ARIZONA', 'MISSOURI', 'WASHINGTON', 'MEXICO', 'NEW YORK', 'NEW YORK', 'Newman’s Apartment', 'MARYLAND', 'PENNSYLVANIA', 'NEW YORK', 'NEW YORK']",8.2
S06E23,0.0549,0.0169,0.0769,0.1254,84,51,52,42,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'ITALY', 'Elaine’s Apartment', 'NEW JERSEY', '4 Pennsylvania Pl']",8.5
S06E24,0.0351,0.1077,0.0864,-0.0069,50,39,36,16,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Central Park', 'The Improv', 'SOUTH KOREA', '525 E. 68th St', 'ITALY', 'ITALY', 'BELARUS', 'BELARUS']",8.1
S07E01,0.0624,0.0014,0.0387,0.1193,84,40,42,75,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'Elaine’s Apartment', 'Newman’s Apartment', 'CALIFORNIA', 'Costanza House', '1987 Broadway', 'NEW YORK', 'MARYLAND', 'Central Park', 'Brooklyn', 'HAWAII', 'Kramer’s Apartment']",8.7
S07E02,0.07400000000000001,0.1456,-0.0056,0.013999999999999999,94,58,29,67,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Yankee Stadium', 'George’s Apartment', '1987 Broadway']",8.4
S07E03,0.0426,0.0681,0.0764,0.0568,90,42,70,60,"['Tuscany', 'The Improv', 'Jerry’s Apartment', 'Tuscany', 'Monk’s Café', 'Tuscany', '1120 Sixth Ave.', 'ITALY', 'FRANCE', 'Tuscany', 'Tuscany', 'Elaine’s Apartment']",8.2
S07E04,0.0403,-0.0051,0.0969,0.0238,65,65,51,51,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'Elaine’s Apartment', 'Yankee Stadium', 'Kramer’s Apartment', '1000 Tenth Ave', 'EUROPE']",8.7
S07E05,0.024,-0.0033,0.091,-0.0253,89,49,28,37,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'NORWAY', 'Pendant Publishing', 'SPAIN', 'Yankee Stadium', 'Kramer’s Apartment', 'OHIO', 'TEXAS', 'SWEDEN', 'J. Peterman', 'China', 'Elaine’s Apartment', 'SWITZERLAND', 'CANADA', 'NEW JERSEY']",8.7
S07E06,0.071,0.0439,0.0818,0.1092,96,84,51,70,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', '2310 Broadway', 'Elaine’s Apartment', 'EUROPE']",9.6
S07E07,0.0441,0.0734,0.0431,0.0158,76,40,28,65,"['The Improv', 'Jerry’s Apartment', 'Monk’s Café', 'George’s Apartment', 'TEXAS', 'Yankee Stadium', '323 Fifth Ave', 'CHINA', 'SPAIN', 'Elaine’s Apartment', 'Brooklyn', 'Brooklyn']",8.5
